dataset,split,missing_type,missing_rate,method,lambda,accuracy,balanced_accuracy,f1,roc_auc
biodeg,0,,,oracle,1e-06,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9144736842105263
biodeg,0,MCAR,0.0,pseudo_labeling,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9144736842105263
biodeg,0,MCAR,0.0,kmeans_majority,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9144736842105263
biodeg,0,MCAR,0.0,naive,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9144736842105263
biodeg,0,MCAR,0.05,pseudo_labeling,1.0,0.8625592417061612,0.8423840321141838,0.903010033444816,0.9161462979482604
biodeg,0,MCAR,0.05,kmeans_majority,1.0,0.8530805687203792,0.8306199821587867,0.8963210702341137,0.9159232827832294
biodeg,0,MCAR,0.05,naive,1.0,0.8625592417061612,0.8423840321141838,0.903010033444816,0.9168153434433541
biodeg,0,MCAR,0.1,pseudo_labeling,1.0,0.8483412322274881,0.8325156110615521,0.8918918918918919,0.912578055307761
biodeg,0,MCAR,0.1,kmeans_majority,1.0,0.8293838862559242,0.8193577163247101,0.8767123287671232,0.8984165923282784
biodeg,0,MCAR,0.1,naive,1.0,0.8625592417061612,0.8475691347011597,0.9023569023569024,0.9129125780553077
biodeg,0,MCAR,0.15000000000000002,pseudo_labeling,1.0,0.8672985781990521,0.8560437109723461,0.9054054054054054,0.9103479036574488
biodeg,0,MCAR,0.15000000000000002,kmeans_majority,1.0,0.8578199052132701,0.8494647636039251,0.8979591836734694,0.8993086529884032
biodeg,0,MCAR,0.15000000000000002,naive,1.0,0.8720379146919431,0.8593331846565566,0.9090909090909091,0.9138046387154327
biodeg,0,MCAR,0.2,pseudo_labeling,1.0,0.8293838862559242,0.7986173059768065,0.88,0.9090098126672613
biodeg,0,MCAR,0.2,kmeans_majority,1.0,0.8341232227488151,0.8174620874219447,0.8813559322033898,0.9130240856378232
biodeg,0,MCAR,0.2,naive,1.0,0.8483412322274881,0.8221454058876003,0.8933333333333333,0.9124665477252453
biodeg,0,MCAR,0.25,pseudo_labeling,1.0,0.8672985781990521,0.8456735057983943,0.9066666666666666,0.9139161462979483
biodeg,0,MCAR,0.25,kmeans_majority,1.0,0.8341232227488151,0.8330173951828724,0.8788927335640139,0.8991971454058876
biodeg,0,MCAR,0.25,naive,1.0,0.8625592417061612,0.8423840321141838,0.903010033444816,0.9158117752007137
biodeg,0,MCAR,0.30000000000000004,pseudo_labeling,1.0,0.8436018957345972,0.8188559322033898,0.8896321070234113,0.9054415700267618
biodeg,0,MCAR,0.30000000000000004,kmeans_majority,1.0,0.8483412322274881,0.8325156110615521,0.8918918918918919,0.9007582515611061
biodeg,0,MCAR,0.30000000000000004,naive,1.0,0.8483412322274881,0.8325156110615521,0.8918918918918919,0.9038804638715433
biodeg,0,MCAR,0.35000000000000003,pseudo_labeling,1.0,0.8625592417061612,0.8371989295272079,0.9036544850498339,0.9123550401427297
biodeg,0,MCAR,0.35000000000000003,kmeans_majority,1.0,0.8341232227488151,0.8330173951828724,0.8788927335640139,0.8920606601248885
biodeg,0,MCAR,0.35000000000000003,naive,1.0,0.8672985781990521,0.8560437109723461,0.9054054054054054,0.9159232827832292
biodeg,0,MCAR,0.4,pseudo_labeling,1.0,0.8483412322274881,0.8221454058876003,0.8933333333333333,0.9088983050847457
biodeg,0,MCAR,0.4,kmeans_majority,1.0,0.8056872037914692,0.7873550401427297,0.8600682593856656,0.884478144513827
biodeg,0,MCAR,0.4,naive,1.0,0.8436018957345972,0.8240410347903657,0.8888888888888888,0.9112399643175736
biodeg,0,MCAR,0.45,pseudo_labeling,1.0,0.8293838862559242,0.8038024085637823,0.8791946308724832,0.9070026761819804
biodeg,0,MCAR,0.45,kmeans_majority,1.0,0.8436018957345972,0.8395963425512936,0.8865979381443299,0.8973015165031222
biodeg,0,MCAR,0.45,naive,1.0,0.8578199052132701,0.8442796610169492,0.8986486486486487,0.9159232827832293
biodeg,0,MCAR,0.5,pseudo_labeling,1.0,0.8199052132701422,0.7920383586083853,0.87248322147651,0.9002007136485282
biodeg,0,MCAR,0.5,kmeans_majority,1.0,0.7203791469194313,0.5933318465655665,0.8195718654434251,0.8015165031222123
biodeg,0,MCAR,0.5,naive,1.0,0.8483412322274881,0.8325156110615521,0.8918918918918919,0.9105709188224799
biodeg,0,MCAR,0.55,pseudo_labeling,1.0,0.8388625592417062,0.8259366636931311,0.8843537414965986,0.8959634255129348
biodeg,0,MCAR,0.55,kmeans_majority,1.0,0.8009478672985783,0.794435771632471,0.8541666666666666,0.8751115075825155
biodeg,0,MCAR,0.55,naive,1.0,0.8341232227488151,0.8278322925958965,0.8797250859106529,0.89507136485281
biodeg,0,MCAR,0.6000000000000001,pseudo_labeling,1.0,0.8436018957345972,0.7929304192685103,0.8932038834951457,0.899085637823372
biodeg,0,MCAR,0.6000000000000001,kmeans_majority,1.0,0.7772511848341233,0.6950267618198037,0.8507936507936508,0.8508028545941124
biodeg,0,MCAR,0.6000000000000001,naive,1.0,0.8483412322274881,0.8273305084745763,0.8926174496644296,0.9111284567350579
biodeg,0,MCAR,0.65,pseudo_labeling,1.0,0.7725118483412322,0.6969223907225692,0.8461538461538461,0.837421944692239
biodeg,0,MCAR,0.65,kmeans_majority,1.0,0.7014218009478673,0.5905441570026762,0.8025078369905956,0.7454281891168599
biodeg,0,MCAR,0.65,naive,1.0,0.8246445497630331,0.8264384478144513,0.8710801393728222,0.8942908117752006
biodeg,0,MCAR,0.7000000000000001,pseudo_labeling,1.0,0.8341232227488151,0.7863514719000892,0.8859934853420195,0.9004237288135594
biodeg,0,MCAR,0.7000000000000001,kmeans_majority,1.0,0.7251184834123223,0.5862511150758252,0.8253012048192772,0.8049732381801963
biodeg,0,MCAR,0.7000000000000001,naive,1.0,0.8436018957345972,0.8292261373773416,0.888135593220339,0.9044380017841214
biodeg,0,MCAR,0.75,pseudo_labeling,1.0,0.8388625592417062,0.8103813559322034,0.8866666666666667,0.9022078501338091
biodeg,0,MCAR,0.75,kmeans_majority,1.0,0.7819905213270142,0.7709076717216771,0.8402777777777778,0.8513603925066905
biodeg,0,MCAR,0.75,naive,1.0,0.8578199052132701,0.8598349687778769,0.896551724137931,0.9128010704727921
biodeg,0,MCAR,0.8,pseudo_labeling,1.0,0.8199052132701422,0.7764830508474576,0.875,0.8883809099018734
biodeg,0,MCAR,0.8,kmeans_majority,1.0,0.7014218009478673,0.6423951828724352,0.7892976588628763,0.7060660124888493
biodeg,0,MCAR,0.8,naive,1.0,0.8436018957345972,0.8344112399643175,0.8873720136518771,0.8954058876003569
biodeg,0,MCAR,0.8500000000000001,pseudo_labeling,1.0,0.7914691943127962,0.7567462087421944,0.8523489932885906,0.8969669937555753
biodeg,0,MCAR,0.8500000000000001,kmeans_majority,1.0,0.7298578199052133,0.6310214094558431,0.8201892744479495,0.7633809099018734
biodeg,0,MCAR,0.8500000000000001,naive,1.0,0.8341232227488151,0.8226471900089206,0.8805460750853242,0.9017618198037467
biodeg,0,MAR1,0.0,pseudo_labeling,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9144736842105263
biodeg,0,MAR1,0.0,kmeans_majority,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9144736842105263
biodeg,0,MAR1,0.0,naive,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9144736842105263
biodeg,0,MAR1,0.05,pseudo_labeling,1.0,0.8530805687203792,0.8306199821587867,0.8963210702341137,0.9159232827832292
biodeg,0,MAR1,0.05,kmeans_majority,1.0,0.8625592417061612,0.8475691347011597,0.9023569023569024,0.9154772524531668
biodeg,0,MAR1,0.05,naive,1.0,0.8578199052132701,0.8390945584299732,0.8993288590604027,0.9138046387154326
biodeg,0,MAR1,0.1,pseudo_labeling,1.0,0.8578199052132701,0.8390945584299732,0.8993288590604027,0.9150312221231044
biodeg,0,MAR1,0.1,kmeans_majority,1.0,0.8578199052132701,0.8442796610169492,0.8986486486486487,0.9162578055307761
biodeg,0,MAR1,0.1,naive,1.0,0.8578199052132701,0.8390945584299732,0.8993288590604027,0.9153657448706511
biodeg,0,MAR1,0.15000000000000002,pseudo_labeling,1.0,0.8578199052132701,0.8390945584299732,0.8993288590604027,0.9146966993755575
biodeg,0,MAR1,0.15000000000000002,kmeans_majority,1.0,0.8720379146919431,0.8593331846565566,0.9090909090909091,0.9210526315789475
biodeg,0,MAR1,0.15000000000000002,naive,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9132471008028546
biodeg,0,MAR1,0.2,pseudo_labeling,1.0,0.8341232227488151,0.8122769848349687,0.8821548821548821,0.913135593220339
biodeg,0,MAR1,0.2,kmeans_majority,1.0,0.8388625592417062,0.8259366636931311,0.8843537414965986,0.9000892060660124
biodeg,0,MAR1,0.2,naive,1.0,0.8436018957345972,0.8292261373773416,0.888135593220339,0.9075602140945584
biodeg,0,MAR1,0.25,pseudo_labeling,1.0,0.8436018957345972,0.8033006244424621,0.8918032786885246,0.9058876003568243
biodeg,0,MAR1,0.25,kmeans_majority,1.0,0.8483412322274881,0.8221454058876003,0.8933333333333333,0.9017618198037466
biodeg,0,MAR1,0.25,naive,1.0,0.8578199052132701,0.8339094558429974,0.9,0.9084522747546834
biodeg,0,MAR1,0.30000000000000004,pseudo_labeling,1.0,0.8530805687203792,0.8409901873327387,0.8949152542372881,0.9095673505798395
biodeg,0,MAR1,0.30000000000000004,kmeans_majority,1.0,0.8341232227488151,0.8226471900089206,0.8805460750853242,0.8977475468331847
biodeg,0,MAR1,0.30000000000000004,naive,1.0,0.8530805687203792,0.8513603925066904,0.8934707903780069,0.9095673505798394
biodeg,0,MAR1,0.35000000000000003,pseudo_labeling,1.0,0.8388625592417062,0.8155664585191793,0.8859060402684564,0.909678858162355
biodeg,0,MAR1,0.35000000000000003,kmeans_majority,1.0,0.8436018957345972,0.8240410347903657,0.8888888888888888,0.8999776984834967
biodeg,0,MAR1,0.35000000000000003,naive,1.0,0.8341232227488151,0.8070918822479929,0.882943143812709,0.9013157894736842
